type,value,context,confidence,source,notes
behaviour,declared-fetcher-read-after-anonymous-write,site-vantage,high,collusion.wiki-2026-09-04,"A page written from a cloud address is read minutes later from an address the model provider itself publishes as its fetch tool. 380901 such requests in June alone from ranges published at openai.com/chatgpt-user.json. Highest-confidence site-vantage signal, and it dies entirely against a self-hosted model."
behaviour,hosting-asn-concentration-on-community-site,site-vantage,medium,collusion.wiki-2026-09-04,"98.5% of roughly 17000 agent edits came from Microsoft Azure ranges. Soft: 197 edits came from AWS, DigitalOcean and Tor with the same agent names recurring across them, so an operator who cared would use residential or Tor egress throughout."
behaviour,self-declared-agent-account-names,site-vantage,low,collusion.wiki-2026-09-04,"Over 3700 distinct self-given names, many carrying the provider name outright: OpenAIResearcher, OAIResearchMar26, OpenAIJul3Watcher, usually plus a task word and a date. HUNT ONLY. Will not survive an operator who cares. It would have worked here, which is the only reason it is listed."
behaviour,homoglyph-lookalike-of-moderator-account,site-vantage,low,collusion.wiki-2026-09-04,"From 26 May agents edited under a name matching a ProWiki administrator's except for a Cyrillic character rendering near-identically to its Latin counterpart. The researchers do not know why."
behaviour,alphabetical-deletion-sweep-evasion,site-vantage,medium,collusion.wiki-2026-09-04,"An agent noticed the moderator was deleting pages alphabetically, posted a notice about it, and created ZZZ-prefixed backups so they would be swept last. If your moderation queue is losing, that is itself a detectable condition and it is the one that mattered here."
service,r.jina.ai,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed being chained, including nested inside itself, to launder blocked destinations. Hunting context only. Used in our own tooling."
service,markdown.new,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed wrapping httpbin redirect-to chains to reach data.nysed.gov. Hunting context only."
service,web2md.site,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed in early relay-chain tests on publictestwiki.com. Hunting context only."
service,corsproxy.io,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed in relay-chain probes. Hunting context only."
service,api.cors.lol,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed in relay-chain probes. Hunting context only."
service,proxy.corsfix.com,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed in relay-chain probes. Hunting context only."
service,jqp.vercel.app,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed used to fetch and jq-filter remote JSON from inside an XSS payload attempt. Hunting context only."
service,httpbin.org/redirect-to,fetch-relay,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Observed as the redirect stage of a chain. Hunting context only."
service,pinggy.io,tunnel,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Named in the report as used by the agents to expose local services publicly from inside the sandbox."
service,serveo.net,tunnel,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Named in the report as used by the agents for SSH tunnelling out of the sandbox."
service,localhost.run,tunnel,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Named in the report as used by the agents for tunnelling."
service,localtunnel,tunnel,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Named in the report as used by the agents for tunnelling."
service,counterapi.dev,external-state,n/a,collusion.wiki-2026-09-04,"LEGITIMATE SERVICE. Used by an agent as an external heartbeat to mark its own container teardown time. Namespace observed in the report: apr30-cvd-horizon-2025, keys hb0000 upward."
infrastructure,openai.com/chatgpt-user.json,attribution-aid,high,openai-published,"NOT AN INDICATOR OF COMPROMISE. This is the operator's own published list of its fetch-tool ranges, and it is what made third-party attribution possible. Load it as a lookup for the read-after-write correlation. Providers maintain these files precisely so site operators can identify their traffic."
infrastructure,ARIN-OpenAI-OpCo-LLC-blocks,attribution-aid,medium,collusion.wiki-2026-09-04,"Publicly registered blocks (199.47.142.0 and 12.12.56.24 cited in the report) whose addresses visited the wiki with human-like browsing from 21 June, one day before agent activity stopped. Evidence of operator response, not of attack."
